names,categories,confidence,websites,socials,phones,addresses,omf_name,omf_category,omf_confidence,omf_websites,omf_socials,omf_phones,omf_addresses,clean_omf_name,clean_omf_addresses
"{""primary"":""Plumas Pines VACATION HOMES & RENTALS""}","{""primary"":""vacation_rental_agents"",""alternate"":[""cabin"",""holiday_rental_home"",""travel""]}",0.77,"[""http://www.plumaspinesvacationhomesandrentals.com/""]",,"[""5308360444""]","[{""freeform"":""307 Poplar Valley Rd"",""locality"":""Blairsden Graeagle"",""postcode"":""96103"",""region"":""CA"",""country"":""US""}]",Plumas Pines VACATION HOMES & RENTALS,vacation_rental_agents,0.77,http://www.plumaspinesvacationhomesandrentals.com/,,5308360444,"307 Poplar Valley Rd,Blairsden Graeagle,CA,96103",plumas pines vacation homes  rentals,307 poplar valley rdblairsden graeagleca96103
"{""primary"":""BLL Immagine e Creativita""}","{""primary"":""advertising_agency"",""alternate"":[""professional_services"",""art_gallery""]}",0.9445655559015883,"[""http://www.bllimmagineecreativita.it""]","[""https://www.facebook.com/1410458832530390""]","[""+390521235152""]","[{""freeform"":""Borgo Claudio Merulo, 1"",""locality"":""Parma"",""postcode"":""43121"",""region"":""45"",""country"":""IT""}]",BLL Immagine e Creativita,advertising_agency,0.9445655559015883,http://www.bllimmagineecreativita.it,https://www.facebook.com/1410458832530390,+390521235152,"Borgo Claudio Merulo, 1,Parma,45,43121",bll immagine e creativita,borgo claudio merulo 1parma4543121
"{""primary"":""Ker Juliette""}","{""primary"":""pancake_house"",""alternate"":[""french_restaurant"",""fast_food_restaurant""]}",0.9837452982267598,"[""https://www.kerjuliette.fr/lille/""]","[""https://www.facebook.com/103292155761230""]",,"[{""freeform"":""27 Rue des Tanneurs"",""locality"":""Lille"",""postcode"":""59800"",""country"":""FR""}]",Ker Juliette,pancake_house,0.9837452982267598,https://www.kerjuliette.fr/lille/,https://www.facebook.com/103292155761230,,"27 Rue des Tanneurs,Lille,,59800",ker juliette,27 rue des tanneurslille59800
"{""primary"":""Sídliště Libuš""}","{""primary"":""transportation"",""alternate"":[""topic_concert_venue"",""home_developer""]}",0.6214335421016005,"[""http://www.dpp.cz""]","[""https://www.facebook.com/267296667306231""]",,"[{""freeform"":""Generála Šišky"",""postcode"":""142 00"",""country"":""CZ""}]",Sídliště Libuš,transportation,0.6214335421016005,http://www.dpp.cz,https://www.facebook.com/267296667306231,,"Generála Šišky,,,142 00",sdlit libu,generla iky142 00
"{""primary"":""ライトオン滋賀水口店""}","{""primary"":""clothing_store"",""alternate"":[""women's_clothing_store""]}",0.8973172987974098,"[""https://stores.right-on.co.jp/0182""]","[""https://www.facebook.com/112603027065109""]","[""+81748630686""]","[{""freeform"":""水口町泉686"",""postcode"":""528-0056"",""country"":""JP""}]",ライトオン滋賀水口店,clothing_store,0.8973172987974098,https://stores.right-on.co.jp/0182,https://www.facebook.com/112603027065109,+81748630686,"水口町泉686,,,528-0056",,6865280056
"{""primary"":""L'Ufficio Srl""}","{""primary"":""office_equipment"",""alternate"":[""business_office_supplies_and_stationery"",""printing_services"",""business_equipment_and_supply"",""business_to_business"",""retail""]}",0.8806389610389611,"[""https://www.fotocopiatriciverona.it/""]",,"[""045576800""]","[{""freeform"":""Corso Milano, 50/A"",""locality"":""Verona"",""postcode"":""37138"",""region"":""VR"",""country"":""IT""}]",L'Ufficio Srl,office_equipment,0.8806389610389611,https://www.fotocopiatriciverona.it/,,045576800,"Corso Milano, 50/A,Verona,VR,37138",lufficio srl,corso milano 50averonavr37138
"{""primary"":""Björn Klose Steuerberater""}","{""primary"":""tax_services""}",0.77,"[""http://www.steuerbuero-klose.de/""]",,"[""02117377940""]","[{""freeform"":""Rheindorfer Weg 3"",""locality"":""Düsseldorf"",""postcode"":""40591"",""region"":""North Rhine-Westphalia"",""country"":""DE""}]",Björn Klose Steuerberater,tax_services,0.77,http://www.steuerbuero-klose.de/,,02117377940,"Rheindorfer Weg 3,Düsseldorf,North Rhine-Westphalia,40591",bjrn klose steuerberater,rheindorfer weg 3dsseldorfnorth rhinewestphalia40591
"{""primary"":""La Villa Cafe Bar""}","{""primary"":""cafe"",""alternate"":[""coffee_shop"",""desserts""]}",0.9837452982267598,,"[""https://www.facebook.com/624558357713306""]","[""+526616130215""]","[{""freeform"":""Boulevard Benito Juárez 4356"",""locality"":""Playas de Rosarito"",""postcode"":""22710"",""country"":""MX""}]",La Villa Cafe Bar,cafe,0.9837452982267598,,https://www.facebook.com/624558357713306,+526616130215,"Boulevard Benito Juárez 4356,Playas de Rosarito,,22710",la villa cafe bar,boulevard benito jurez 4356playas de rosarito22710
"{""primary"":""Burger´s Grill""}","{""primary"":""burger_restaurant"",""alternate"":[""bar_and_grill_restaurant"",""fast_food_restaurant""]}",0.9837452982267598,,"[""https://www.facebook.com/197293563711415""]","[""+523330284289""]","[{""freeform"":""Calle Ignacio Zaragoza 115"",""locality"":""Autlán de Navarro"",""postcode"":""48900"",""country"":""MX""}]",Burger´s Grill,burger_restaurant,0.9837452982267598,,https://www.facebook.com/197293563711415,+523330284289,"Calle Ignacio Zaragoza 115,Autlán de Navarro,,48900",burgers grill,calle ignacio zaragoza 115autln de navarro48900
"{""primary"":""Concord Foot & Ankle Center""}","{""primary"":""podiatrist"",""alternate"":[""doctor"",""medical_center"",""health_and_medical""]}",0.77,"[""http://www.concordfeet.com/""]",,"[""9783695282""]","[{""freeform"":""54 Baker Ave Ste 103"",""locality"":""Concord"",""postcode"":""01742"",""region"":""MA"",""country"":""US""}]",Concord Foot & Ankle Center,podiatrist,0.77,http://www.concordfeet.com/,,9783695282,"54 Baker Ave Ste 103,Concord,MA,01742",concord foot  ankle center,54 baker ave ste 103concordma01742
